id  |               frame_id               | camera_id  |          captured_at          | x1  | y1  | x2  | y2  | confidence 
 716 | 23f96ec3-c762-4d3c-915a-26958335e694 | cam-tcp-01 | 2026-06-15 04:13:09.026794+00 | 575 | 348 | 639 | 479 |     0.7582
 715 | 23f96ec3-c762-4d3c-915a-26958335e694 | cam-tcp-01 | 2026-06-15 04:13:09.026794+00 |   6 |  81 | 590 | 479 |     0.8732
 714 | b3d0f9bb-9396-4577-bc76-36b964c80ba9 | cam-tcp-01 | 2026-06-15 04:13:08.82762+00  | 574 | 352 | 639 | 479 |     0.7951
 713 | b3d0f9bb-9396-4577-bc76-36b964c80ba9 | cam-tcp-01 | 2026-06-15 04:13:08.82762+00  |  21 |  82 | 596 | 479 |     0.8643
 712 | f371abc1-56d4-4219-8215-1200cb7b5899 | cam-tcp-01 | 2026-06-15 04:13:08.640569+00 | 574 | 351 | 639 | 479 |     0.7759
 711 | f371abc1-56d4-4219-8215-1200cb7b5899 | cam-tcp-01 | 2026-06-15 04:13:08.640569+00 |  20 |  81 | 599 | 480 |     0.8772
 710 | f0e9f94b-dc8b-4ec4-92f3-577889c64434 | cam-tcp-01 | 2026-06-15 04:13:08.439013+00 | 574 | 353 | 639 | 479 |      0.771
 709 | f0e9f94b-dc8b-4ec4-92f3-577889c64434 | cam-tcp-01 | 2026-06-15 04:13:08.439013+00 |  27 |  81 | 602 | 480 |     0.8814
 708 | 786252e0-64f9-45d5-bcc6-e8da82c47570 | cam-tcp-01 | 2026-06-15 04:13:08.239284+00 | 574 | 353 | 639 | 479 |     0.7704
 707 | 786252e0-64f9-45d5-bcc6-e8da82c47570 | cam-tcp-01 | 2026-06-15 04:13:08.239284+00 |  11 |  82 | 608 | 479 |     0.8771
 706 | 966bfff8-086b-4d8d-8ed6-4c35eaa8347b | cam-tcp-01 | 2026-06-15 04:13:08.036615+00 | 575 | 351 | 639 | 479 |     0.7515
 705 | 966bfff8-086b-4d8d-8ed6-4c35eaa8347b | cam-tcp-01 | 2026-06-15 04:13:08.036615+00 |  16 |  81 | 600 | 480 |     0.8808
